img num: 0 rightLeft, upDown, forwardBack, yaw:
[11.6498, -14.2593, 78.1365, -8]
img num: 66 rightLeft, upDown, forwardBack, yaw:
[9.22969, -17.3903, 77.2817, -10]
img num: 67 rightLeft, upDown, forwardBack, yaw:
[8.13012, -14.1038, 78.1639, -10]
img num: 68 rightLeft, upDown, forwardBack, yaw:
[7.47344, -16.155, 77.4957, -9]
img num: 69 rightLeft, upDown, forwardBack, yaw:
[4.19624, -15.6902, 78.0511, -10]
img num: 70 rightLeft, upDown, forwardBack, yaw:
[2.24183, -15.0454, 78.2371, -9]
img num: 71 rightLeft, upDown, forwardBack, yaw:
[-0.406459, -10.2355, 78.8814, -8]
img num: 72 rightLeft, upDown, forwardBack, yaw:
[-5.67554, -11.3063, 77.7694, -9]
img num: 73 rightLeft, upDown, forwardBack, yaw:
[-9.0729, -13.3915, 76.3026, -9]
img num: 74 rightLeft, upDown, forwardBack, yaw:
[-8.39136, -13.6861, 75.6371, -5]
img num: 75 rightLeft, upDown, forwardBack, yaw:
[-13.3174, -11.1342, 75.483, -7]
img num: 76 rightLeft, upDown, forwardBack, yaw:
[-16.5413, -11.208, 74.047, -8]
img num: 77 rightLeft, upDown, forwardBack, yaw:
[-19.8149, -10.7046, 72.3837, -9]
img num: 78 rightLeft, upDown, forwardBack, yaw:
[-17.5271, -11.5523, 73.008, -7]
img num: 79 rightLeft, upDown, forwardBack, yaw:
[-17.2603, -12.5883, 72.0895, -6]
img num: 80 rightLeft, upDown, forwardBack, yaw:
[-17.9252, -11.7402, 71.366, -7]
img num: 81 rightLeft, upDown, forwardBack, yaw:
[-15.3993, -10.745, 71.7963, -5]
img num: 82 rightLeft, upDown, forwardBack, yaw:
[-17.2175, -10.804, 70.0765, -8]
img num: 83 rightLeft, upDown, forwardBack, yaw:
[-16.1482, -12.9943, 69.042, -7]
img num: 84 rightLeft, upDown, forwardBack, yaw:
[-13.4448, -11.3788, 69.6932, -6]
img num: 85 rightLeft, upDown, forwardBack, yaw:
[-14.012, -9.65995, 68.9487, -7]
img num: 86 rightLeft, upDown, forwardBack, yaw:
[-12.558, -10.5664, 68.6472, -7]
img num: 87 rightLeft, upDown, forwardBack, yaw:
[-13.1424, -11.3886, 67.5857, -8]
img num: 88 rightLeft, upDown, forwardBack, yaw:
[-11.1938, -9.65651, 67.9379, -7]
img num: 89 rightLeft, upDown, forwardBack, yaw:
[-10.4625, -9.17564, 67.0616, -7]
